,ymd,stock_code,pb
466,2026-01-05,001337,6.69
467,2026-01-05,001338,1.52
468,2026-01-05,001339,5.67
469,2026-01-05,001356,4.33
470,2026-01-05,001358,1.86
471,2026-01-05,001359,2.7
472,2026-01-05,001360,1.96
473,2026-01-05,001366,2.15
474,2026-01-05,001367,2.06
475,2026-01-05,001368,1.75
476,2026-01-05,,
477,2026-01-05,001373,2.23
478,2026-01-05,001376,5.83
479,2026-01-05,001378,1.56
480,2026-01-05,001379,2.98
481,2026-01-05,001380,2.79
482,2026-01-05,,
483,2026-01-05,,
484,2026-01-05,001387,2.07
485,2026-01-05,,
486,2026-01-05,001389,8.16
487,2026-01-05,,
488,2026-01-05,001391,3.55
489,2026-01-05,001395,3.37
490,2026-01-05,,
491,2026-01-05,,
492,2026-01-05,001696,6.39
493,2026-01-05,001872,0.81
494,2026-01-05,001896,1.95
495,2026-01-05,001914,1.02
496,2026-01-05,001965,1.33
497,2026-01-05,001979,0.9
498,2026-01-05,002001,2.47
499,2026-01-05,002003,3.72
500,2026-01-05,002004,0.77
501,2026-01-05,002006,6.36
502,2026-01-05,002007,2.58
503,2026-01-05,002008,1.81
504,2026-01-05,002009,2.95
505,2026-01-05,002010,0.83
506,2026-01-05,002011,2.47
507,2026-01-05,002012,1.44
508,2026-01-05,002014,2.61
509,2026-01-05,002015,1.07
510,2026-01-05,002016,1.23
511,2026-01-05,002017,3.77
512,2026-01-05,002019,1.56
513,2026-01-05,002020,1.8
514,2026-01-05,002021,4.79
515,2026-01-05,002022,0.82
516,2026-01-05,002023,1.81
517,2026-01-05,002025,3.07
518,2026-01-05,002026,1.29
519,2026-01-05,002027,6.18
520,2026-01-05,002028,4.86
521,2026-01-05,002029,0.67
522,2026-01-05,002030,1.07
523,2026-01-05,002031,7.63
524,2026-01-05,002032,7.43
525,2026-01-05,002033,1.89
526,2026-01-05,002034,0.95
527,2026-01-05,002035,1.62
528,2026-01-05,002036,5.2
529,2026-01-05,002037,1.92
530,2026-01-05,002038,1.3
531,2026-01-05,002039,1.55
532,2026-01-05,002040,1
533,2026-01-05,002041,2.64
534,2026-01-05,002042,1.47
535,2026-01-05,002043,3.08
536,2026-01-05,002044,3.32
537,2026-01-05,002045,2.44
538,2026-01-05,002046,2.1
539,2026-01-05,002048,0.91
540,2026-01-05,002050,6.47
541,2026-01-05,002051,0.88
542,2026-01-05,002052,-1000
543,2026-01-05,002053,1.44
544,2026-01-05,002054,1.23
545,2026-01-05,002056,2.29
546,2026-01-05,002057,1.84
547,2026-01-05,002059,3.41
548,2026-01-05,002060,1.02
549,2026-01-05,002061,0.71
550,2026-01-05,002062,1.37
551,2026-01-05,002063,3.72
552,2026-01-05,002064,1.54
553,2026-01-05,002065,2.54
554,2026-01-05,002066,3.52
555,2026-01-05,002067,0.89
556,2026-01-05,002068,2.78
557,2026-01-05,002069,53.53
558,2026-01-05,002072,34.28
559,2026-01-05,002073,1.54
560,2026-01-05,002074,1.61
561,2026-01-05,002075,2.04
562,2026-01-05,002077,2.59
563,2026-01-05,002078,1.44
564,2026-01-05,002079,2.81
565,2026-01-05,002080,1.14
566,2026-01-05,002081,0.69
567,2026-01-05,002082,1.41
568,2026-01-05,002083,0.96
569,2026-01-05,002084,1.2
570,2026-01-05,002085,6.15
571,2026-01-05,002086,3.33
572,2026-01-05,002088,2.25
573,2026-01-05,002090,2.54
574,2026-01-05,002091,0.84
575,2026-01-05,002092,0.52
576,2026-01-05,002093,2.36
577,2026-01-05,002094,2.65
578,2026-01-05,002095,5.97
579,2026-01-05,002096,1.81
580,2026-01-05,002097,1.72
581,2026-01-05,002098,2.45
582,2026-01-05,002099,1.49
583,2026-01-05,002100,1.22
584,2026-01-05,002101,1.05
585,2026-01-05,002102,1.7
586,2026-01-05,002103,5.93
587,2026-01-05,002104,2.3
588,2026-01-05,002105,2.16
589,2026-01-05,002106,1.44
590,2026-01-05,002107,3.95
591,2026-01-05,002108,1.14
592,2026-01-05,002109,0.9
593,2026-01-05,002110,0.44
594,2026-01-05,002111,1.87
595,2026-01-05,002112,6.84
596,2026-01-05,002114,2.04
597,2026-01-05,002115,2.72
598,2026-01-05,002116,1.82
599,2026-01-05,002117,5.2
600,2026-01-05,002119,4.87
601,2026-01-05,002120,1.11
602,2026-01-05,002121,8.55
603,2026-01-05,002123,11.05
