排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
243,创投,BK0506,19576.67,68.36,0.35,5615198208000,2.93,180,106,京投发展,10.09
244,化妆品概念,BK0974,1391.48,4.83,0.35,722102512000,2.06,39,19,科隆股份,4.13
245,电商概念,BK0665,2530.96,8.7,0.34,6847586304000,2.53,218,112,众业达,10.03
246,湖北自贸,BK0926,2245.92,7.65,0.34,548275872000,2.93,16,12,启迪环境,4.41
247,化工原料,BK0512,29895.74,100.81,0.34,1666419936000,2.32,49,30,金晶科技,8.44
248,次新股,BK0501,29971.44,100.88,0.34,2399906752000,5.91,62,52,丰倍生物,9.99
249,深股通,BK0804,1357.91,4.5,0.33,42622016768000,3.24,991,715,特发信息,10.01
250,植物照明,BK1007,1236.67,4.06,0.33,197661063000,3.21,8,9,英飞特,7.88
251,贬值受益,BK0812,1853.96,6.06,0.33,4255754928000,2.4,106,68,民爆光电,20.01
252,AI制药（医疗）,BK1170,1497.53,4.87,0.33,736193904000,3.57,39,17,美迪西,3.7
253,军民融合,BK0808,2365.16,7.52,0.32,3988631152000,4.36,98,77,巨力索具,9.99
254,娃哈哈概念,BK1165,1728.11,5.2,0.3,150431412000,1.81,14,6,东方材料,2.61
255,高压快充,BK1144,1581.77,4.72,0.3,789832560000,4.26,36,21,风华高科,3.6
256,粮食概念,BK1086,874.93,2.6,0.3,260467378000,5.9,21,10,广宇集团,4.05
257,工业气体,BK0981,2307.62,6.72,0.29,577900544000,1.77,12,15,蜀道装备,8.99
258,2025中报预增,BK1194,1249.04,3.36,0.27,14017284608000,2.17,258,173,锐明技术,10.01
259,户外露营,BK1079,1625.93,4.35,0.27,161842171000,2.41,15,11,趣睡科技,3.0
260,青蒿素,BK0872,1891.66,4.79,0.25,301353184000,1.13,7,4,复星医药,1.14
261,可控核聚变,BK1163,2537.49,5.9,0.23,2188194240000,2.5,42,32,顺钠股份,9.96
262,军工,BK0490,94021.95,211.45,0.23,6860942336000,4.2,220,190,特发信息,10.01
263,特斯拉,BK0644,7400.64,15.76,0.21,6779954944000,3.02,111,99,亚玛顿,10.01
264,无人机,BK0704,2971.9,6.31,0.21,3784266000000,4.06,111,98,特发信息,10.01
265,B股,BK0636,946.32,1.93,0.2,682443280000,0.18,39,23,动力Ｂ股,3.39
266,汽车一体化压铸,BK1093,1452.5,2.82,0.19,399901008000,2.65,17,11,春兴精工,2.76
267,3D打印,BK0619,8562.21,16.51,0.19,1023014848000,3.63,32,41,博迁新材,10.0
268,小米汽车,BK1155,1842.73,3.42,0.19,4659572736000,3.15,57,44,银轮股份,10.01
269,无人驾驶,BK0802,2341.42,4.27,0.18,7258351616000,2.93,132,134,锐明技术,10.01
270,MiniLED,BK0902,2401.56,3.61,0.15,1322339216000,2.89,27,33,翰博高新,11.29
271,机器人概念,BK1090,2240.19,3.26,0.15,13273418496000,3.0,324,340,凯龙高科,20.0
272,有机硅,BK0961,1904.37,2.47,0.13,471422880000,2.3,18,16,宏柏新材,3.58
273,QFII重仓,BK0535,24174.21,30.43,0.13,4804253440000,3.37,166,155,凯龙高科,20.0
274,跨境电商,BK1115,1748.39,2.02,0.12,1818499776000,2.81,101,56,安孚科技,7.64
275,噪声防治,BK1082,1774.25,2.04,0.12,50002995000,3.0,5,4,凯伦股份,3.61
276,黄金概念,BK0547,22736.22,24.76,0.11,3824372944000,4.23,43,25,菜百股份,5.43
277,股权激励,BK0567,3945.78,3.57,0.09,5622396416000,2.95,112,97,科顺股份,8.63
278,OLED,BK0840,3693.32,3.34,0.09,3218477824000,3.02,64,65,天通股份,10.0
279,科创板做市股,BK1108,1354.29,1.2,0.09,2343870768000,2.56,19,26,晶科能源,20.0
280,核污染防治,BK0983,1792.39,1.32,0.07,445455184000,1.74,16,15,科新机电,3.41
281,锂矿概念,BK1173,2040.87,1.34,0.07,4272372064000,2.22,21,16,威领股份,6.53
282,MLCC,BK0890,3310.63,1.98,0.06,387036576000,5.04,6,9,博迁新材,10.0
283,低空经济,BK1166,1905.87,0.99,0.05,4739638016000,3.59,137,143,神开股份,10.02
284,电子烟,BK0865,2622.38,1.3,0.05,1381200464000,3.52,26,25,集友股份,8.32
285,碳化硅,BK0977,2062.81,0.65,0.03,1251972080000,3.9,19,26,晶盛机电,12.97
286,传感器,BK0905,2395.58,0.69,0.03,2384972224000,3.76,49,69,凯龙高科,20.0
287,减速器,BK1100,2076.55,0.45,0.02,1205227504000,4.06,38,41,富临精工,8.51
288,培育钻石,BK1023,2482.56,0.43,0.02,272885664000,6.46,7,9,晶盛机电,12.97
289,玻璃基板,BK1175,2090.87,-0.69,-0.03,695954064000,2.76,14,20,阿石创,10.01
290,稀土永磁,BK0578,3757.26,-1.6,-0.04,1470429072000,2.83,20,32,英威腾,10.05
291,工业互联,BK0832,2865.38,-1.7,-0.06,5889553152000,2.61,90,108,凯龙高科,20.0
292,食品安全,BK0614,8083.57,-5.13,-0.06,467934432000,2.56,25,25,三维天地,3.6
293,创业板综,BK0742,2082.16,-1.38,-0.07,18722161152000,4.6,637,691,凯龙高科,20.0
294,铜缆高速连接,BK1168,2517.06,-1.92,-0.08,1031722592000,3.62,18,20,凯旺科技,7.08
295,专精特新,BK1005,1756.35,-1.56,-0.09,12000062720000,3.83,509,696,民爆光电,20.01
296,飞行汽车(eVTOL),BK1157,2243.39,-2.09,-0.09,1217290016000,2.44,41,41,森麒麟,4.29
297,2025三季报预增,BK1198,1136.38,-1.06,-0.09,4179552320000,2.41,50,40,金固股份,6.4
298,柔性屏(折叠屏),BK1160,2012.11,-2.07,-0.1,1544831264000,2.79,38,35,奥来德,4.46
299,商汤概念,BK0942,1253.99,-1.31,-0.1,547884848000,2.12,7,6,TCL科技,2.71
300,激光雷达,BK1002,2567.11,-2.69,-0.1,854924416000,3.67,20,22,水晶光电,7.99
301,虚拟电厂,BK0958,2470.32,-2.78,-0.11,902856576000,3.12,31,33,芯能科技,6.78
302,量子科技,BK0710,3688.43,-5.32,-0.14,2301159424000,1.31,24,28,银轮股份,10.01
